parcel_id,property_id,slr_m,storm,scenario,depth_m,duration_hr,flooded,source
104,d2b603896c62fe2a05a5fd2b2856fc67,1,100-yr,SLR=1.0m | 100-yr,0.06,4.794864654541016,FALSE,CoSMoS
105,ae410f3f37648dc35b771f5aab1e56d4,1,100-yr,SLR=1.0m | 100-yr,0.69,4.390081882476807,TRUE,CoSMoS
106,73954a6c37f948edfa2617a91452cf8d,1,100-yr,SLR=1.0m | 100-yr,0.47,5.885205268859863,TRUE,CoSMoS
107,1ff31dc4768a9158d9473f7ded2e923a,1,100-yr,SLR=1.0m | 100-yr,0.17,4.9431023597717285,TRUE,CoSMoS
108,a084010d87e39dd79f2dabdd6931549a,1,100-yr,SLR=1.0m | 100-yr,0.4,7.38688850402832,TRUE,CoSMoS
109,330d0a0121adcdb385166b1fa14e3cec,1,100-yr,SLR=1.0m | 100-yr,0.33,8.430047035217285,TRUE,CoSMoS
110,104937a524980ecc2f672d7a542309ce,1,100-yr,SLR=1.0m | 100-yr,0.48,10.11299991607666,TRUE,CoSMoS
2,869b893718c34c2377679564cd7cd705,1.25,100-yr,SLR=1.2m | 100-yr,0.69,16.960134506225586,TRUE,CoSMoS
3,10e5c14b3b247bc4b07bb5b8fe680915,1.25,100-yr,SLR=1.2m | 100-yr,0.91,18.052106857299805,TRUE,CoSMoS
4,df5793d00b3dee7bc5de79f3adaa9fcb,1.25,100-yr,SLR=1.2m | 100-yr,0.38,18.059541702270508,TRUE,CoSMoS
5,7f0b8bc66ebf78e40799f7fc69f1127b,1.25,100-yr,SLR=1.2m | 100-yr,0.08,22.642047882080078,FALSE,CoSMoS
6,1f2e37dbca51abe543d735133f0cc643,1.25,100-yr,SLR=1.2m | 100-yr,0.43,21.279233932495117,TRUE,CoSMoS
7,41677f225fa7418f32714a2a094c1244,1.25,100-yr,SLR=1.2m | 100-yr,0.91,18.052106857299805,TRUE,CoSMoS
8,d619cea82bb12f088e086e781113f17f,1.25,100-yr,SLR=1.2m | 100-yr,0.66,20.80668067932129,TRUE,CoSMoS
9,4fadfb3c3591c1ad79a801cfa01370d6,1.25,100-yr,SLR=1.2m | 100-yr,0.66,20.80668067932129,TRUE,CoSMoS
10,c9005c10c424d0dfa8efef532052d8e9,1.25,100-yr,SLR=1.2m | 100-yr,0.06,22.72588348388672,FALSE,CoSMoS
11,590bc81e834ae987df8ea7a7c2c04bbf,1.25,100-yr,SLR=1.2m | 100-yr,0.47,16.912771224975586,TRUE,CoSMoS
12,f406818da8ebe8fcc4e58cae36781bf7,1.25,100-yr,SLR=1.2m | 100-yr,0.44,19.36138916015625,TRUE,CoSMoS
13,5e0031ecbf54e0627caf983b39c73dbd,1.25,100-yr,SLR=1.2m | 100-yr,0.1,22.43251609802246,FALSE,CoSMoS
14,0f956c6f09175e6f22794d56a759228a,1.25,100-yr,SLR=1.2m | 100-yr,0.74,23.71698570251465,TRUE,CoSMoS
15,b84a87b6270cbd89024e871a1b4dd896,1.25,100-yr,SLR=1.2m | 100-yr,0.11,22.371780395507812,FALSE,CoSMoS
16,a24ca6112f4bac3344317057b836aa82,1.25,100-yr,SLR=1.2m | 100-yr,0.66,20.80668067932129,TRUE,CoSMoS
17,891d7a19c8866d6a7f26c765b8ffa62e,1.25,100-yr,SLR=1.2m | 100-yr,0.46,22.049537658691406,TRUE,CoSMoS
